
2024/11/12 (10:14:33) | ===> btop++ v.1.3.2
2024/11/12 (10:14:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/12 (10:15:47) | ===> btop++ v.1.3.2
2024/11/12 (10:15:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/12 (10:18:25) | ===> btop++ v.1.3.2
2024/11/12 (10:18:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/12 (10:18:42) | ===> btop++ v.1.3.2
2024/11/12 (10:18:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/12 (10:28:03) | ===> btop++ v.1.3.2
2024/11/12 (10:28:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/12 (22:13:06) | ===> btop++ v.1.3.2
2024/11/12 (22:13:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/12 (22:48:22) | ===> btop++ v.1.3.2
2024/11/12 (22:48:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/12 (23:42:52) | ===> btop++ v.1.3.2
2024/11/12 (23:42:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/14 (22:14:09) | ===> btop++ v.1.3.2
2024/11/14 (22:14:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/14 (22:15:22) | ===> btop++ v.1.3.2
2024/11/14 (22:15:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/15 (18:43:50) | ===> btop++ v.1.3.2
2024/11/15 (18:43:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/15 (19:37:11) | ===> btop++ v.1.3.2
2024/11/15 (19:37:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/15 (19:38:02) | ===> btop++ v.1.3.2
2024/11/15 (19:38:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/03 (17:52:04) | ===> btop++ v.1.3.2
2024/12/03 (17:52:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/03 (17:18:48) | ===> btop++ v.1.3.2
2025/01/03 (17:18:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
